Vestiging,lvl3,lvl4,Jaar-maand,Realisatie,Budget
5.55,lvl3_dummy_1,lvl4_dummy_3,2025-10-01,1516.05,1143.47
5.55,lvl3_dummy_1,lvl4_dummy_3,2025-11-01,1815.08,1143.47
5.55,lvl3_dummy_1,lvl4_dummy_3,2025-12-01,3481.01,1143.47
6.47,lvl3_dummy_1,lvl4_dummy_1,2025-10-01,98607.53,90823.61
6.47,lvl3_dummy_1,lvl4_dummy_1,2025-11-01,98954.85,90823.61
6.47,lvl3_dummy_1,lvl4_dummy_1,2025-12-01,106579.62,91070.82
6.47,lvl3_dummy_1,lvl4_dummy_3,2025-10-01,6517.52,3347.24
6.47,lvl3_dummy_1,lvl4_dummy_3,2025-11-01,3911.88,3347.24
6.47,lvl3_dummy_1,lvl4_dummy_3,2025-12-01,6315.89,3347.24
7.4,lvl3_dummy_1,lvl4_dummy_1,2025-10-01,18929.04,7531.27
7.4,lvl3_dummy_1,lvl4_dummy_1,2025-11-01,20260.09,7531.27
7.4,lvl3_dummy_1,lvl4_dummy_1,2025-12-01,25799.85,7524.48
7.4,lvl3_dummy_1,lvl4_dummy_3,2025-10-01,7648.59,0.0
7.4,lvl3_dummy_1,lvl4_dummy_3,2025-11-01,9762.14,0.0
7.4,lvl3_dummy_1,lvl4_dummy_3,2025-12-01,6054.0,0.0
8.32,lvl3_dummy_1,lvl4_dummy_1,2025-10-01,54720.91,47970.91
8.32,lvl3_dummy_1,lvl4_dummy_1,2025-11-01,56981.01,47970.91
8.32,lvl3_dummy_1,lvl4_dummy_1,2025-12-01,57135.61,47967.49
8.32,lvl3_dummy_1,lvl4_dummy_3,2025-10-01,1494.84,1101.89
8.32,lvl3_dummy_1,lvl4_dummy_3,2025-11-01,1610.87,1101.89
8.32,lvl3_dummy_1,lvl4_dummy_3,2025-12-01,4080.3,1101.89
9.25,lvl3_dummy_1,lvl4_dummy_1,2025-10-01,86003.0,78756.07
9.25,lvl3_dummy_1,lvl4_dummy_1,2025-11-01,90743.07,78756.07
9.25,lvl3_dummy_1,lvl4_dummy_1,2025-12-01,90087.53,78766.7
9.25,lvl3_dummy_1,lvl4_dummy_2,2025-10-01,924.35,0.0
9.25,lvl3_dummy_1,lvl4_dummy_3,2025-10-01,1297.83,2785.9
9.25,lvl3_dummy_1,lvl4_dummy_3,2025-11-01,2759.43,2785.9
9.25,lvl3_dummy_1,lvl4_dummy_3,2025-12-01,3436.46,2785.9
10.17,lvl3_dummy_1,lvl4_dummy_1,2025-10-01,237606.14,217096.86
10.17,lvl3_dummy_1,lvl4_dummy_1,2025-11-01,238964.83,217096.86
10.17,lvl3_dummy_1,lvl4_dummy_1,2025-12-01,235087.4,217104.71
10.17,lvl3_dummy_1,lvl4_dummy_2,2025-10-01,5206.53,529.73
10.17,lvl3_dummy_1,lvl4_dummy_2,2025-11-01,6472.59,529.73
10.17,lvl3_dummy_1,lvl4_dummy_2,2025-12-01,11614.83,525.17
10.17,lvl3_dummy_1,lvl4_dummy_3,2025-10-01,9776.42,8639.38
10.17,lvl3_dummy_1,lvl4_dummy_3,2025-11-01,9473.58,8639.38
10.17,lvl3_dummy_1,lvl4_dummy_3,2025-12-01,8303.55,8643.94
11.1,lvl3_dummy_1,lvl4_dummy_1,2025-10-01,4653.4,249.17
11.1,lvl3_dummy_1,lvl4_dummy_1,2025-11-01,6380.29,249.17
11.1,lvl3_dummy_1,lvl4_dummy_1,2025-12-01,10381.25,249.12
11.1,lvl3_dummy_1,lvl4_dummy_3,2025-10-01,936.78,0.0
11.1,lvl3_dummy_1,lvl4_dummy_3,2025-11-01,3345.81,0.0
11.1,lvl3_dummy_1,lvl4_dummy_3,2025-12-01,1651.98,0.0
12.02,lvl3_dummy_1,lvl4_dummy_1,2025-10-01,236084.43,191758.92
12.02,lvl3_dummy_1,lvl4_dummy_1,2025-11-01,229132.43,191758.92
12.02,lvl3_dummy_1,lvl4_dummy_1,2025-12-01,222460.44,191746.48
12.02,lvl3_dummy_1,lvl4_dummy_2,2025-10-01,17375.39,3455.18
12.02,lvl3_dummy_1,lvl4_dummy_2,2025-11-01,21165.75,3455.18
12.02,lvl3_dummy_1,lvl4_dummy_2,2025-12-01,29337.47,3455.18
12.02,lvl3_dummy_1,lvl4_dummy_3,2025-10-01,8236.32,7495.91
12.02,lvl3_dummy_1,lvl4_dummy_3,2025-11-01,6055.67,7495.91
12.02,lvl3_dummy_1,lvl4_dummy_3,2025-12-01,9938.87,7500.47
12.95,lvl3_dummy_1,lvl4_dummy_1,2025-10-01,281987.94,256719.32
12.95,lvl3_dummy_1,lvl4_dummy_1,2025-11-01,285693.19,256719.32
12.95,lvl3_dummy_1,lvl4_dummy_1,2025-12-01,282338.86,256715.85
12.95,lvl3_dummy_1,lvl4_dummy_2,2025-10-01,5772.28,0.0
12.95,lvl3_dummy_1,lvl4_dummy_3,2025-10-01,11879.79,10406.56
12.95,lvl3_dummy_1,lvl4_dummy_3,2025-11-01,14345.28,10406.56
12.95,lvl3_dummy_1,lvl4_dummy_3,2025-12-01,14090.18,10411.12
13.87,lvl3_dummy_1,lvl4_dummy_1,2025-10-01,178033.01,170173.15
13.87,lvl3_dummy_1,lvl4_dummy_1,2025-11-01,188173.52,170173.15
13.87,lvl3_dummy_1,lvl4_dummy_1,2025-12-01,186998.41,159923.66
13.87,lvl3_dummy_1,lvl4_dummy_2,2025-10-01,10449.26,0.0
13.87,lvl3_dummy_1,lvl4_dummy_3,2025-10-01,9230.64,6736.07
13.87,lvl3_dummy_1,lvl4_dummy_3,2025-11-01,9300.25,6736.07
13.87,lvl3_dummy_1,lvl4_dummy_3,2025-12-01,9122.57,6736.07
14.8,lvl3_dummy_1,lvl4_dummy_1,2025-10-01,-47243.29,0.0
14.8,lvl3_dummy_1,lvl4_dummy_1,2025-11-01,-22695.97,0.0
14.8,lvl3_dummy_1,lvl4_dummy_1,2025-12-01,-29054.46,0.0
14.8,lvl3_dummy_1,lvl4_dummy_3,2025-10-01,165.62,0.0
14.8,lvl3_dummy_1,lvl4_dummy_3,2025-11-01,705.08,0.0
14.8,lvl3_dummy_1,lvl4_dummy_3,2025-12-01,590.36,0.0
15.72,lvl3_dummy_1,lvl4_dummy_1,2025-10-01,2311728.15,22618.74
15.72,lvl3_dummy_1,lvl4_dummy_1,2025-11-01,2244321.03,22618.74
15.72,lvl3_dummy_1,lvl4_dummy_1,2025-12-01,2272781.13,22618.74
15.72,lvl3_dummy_1,lvl4_dummy_2,2025-10-01,24414.25,0.0
15.72,lvl3_dummy_1,lvl4_dummy_2,2025-11-01,28949.79,0.0
15.72,lvl3_dummy_1,lvl4_dummy_2,2025-12-01,45651.15,0.0
15.72,lvl3_dummy_1,lvl4_dummy_3,2025-10-01,0.0,0.0
15.72,lvl3_dummy_1,lvl4_dummy_3,2025-11-01,5877.78,0.0
15.72,lvl3_dummy_1,lvl4_dummy_3,2025-12-01,10363.33,0.0
17.57,lvl3_dummy_1,lvl4_dummy_1,2025-10-01,6013.81,0.0
17.57,lvl3_dummy_1,lvl4_dummy_1,2025-11-01,7385.1,0.0
17.57,lvl3_dummy_1,lvl4_dummy_1,2025-12-01,2395.68,0.0
17.57,lvl3_dummy_1,lvl4_dummy_3,2025-10-01,4764.27,0.0
17.57,lvl3_dummy_1,lvl4_dummy_3,2025-11-01,8150.97,0.0
17.57,lvl3_dummy_1,lvl4_dummy_3,2025-12-01,7915.27,0.0
19.42,lvl3_dummy_1,lvl4_dummy_1,2025-10-01,-1684530.23,366084.08
19.42,lvl3_dummy_1,lvl4_dummy_1,2025-11-01,-1604051.37,366084.08
19.42,lvl3_dummy_1,lvl4_dummy_1,2025-12-01,-1630782.13,365793.7
19.42,lvl3_dummy_1,lvl4_dummy_2,2025-10-01,1667.2,13613.08
19.42,lvl3_dummy_1,lvl4_dummy_2,2025-11-01,3808.16,13613.08
19.42,lvl3_dummy_1,lvl4_dummy_2,2025-12-01,4825.66,13613.08
19.42,lvl3_dummy_1,lvl4_dummy_3,2025-10-01,80.26,0.0
19.42,lvl3_dummy_1,lvl4_dummy_3,2025-11-01,593.6,0.0
19.42,lvl3_dummy_1,lvl4_dummy_3,2025-12-01,1975.01,0.0
20.34,lvl3_dummy_1,lvl4_dummy_1,2025-10-01,9741.5,5130.84
20.34,lvl3_dummy_1,lvl4_dummy_1,2025-11-01,7984.31,5130.84
20.34,lvl3_dummy_1,lvl4_dummy_1,2025-12-01,8533.28,5125.15
20.34,lvl3_dummy_1,lvl4_dummy_3,2025-10-01,21.03,0.0
20.34,lvl3_dummy_1,lvl4_dummy_3,2025-11-01,215.51,0.0
20.34,lvl3_dummy_1,lvl4_dummy_3,2025-12-01,297.47,0.0
21.27,lvl3_dummy_1,lvl4_dummy_1,2025-10-01,-2549.13,0.0
21.27,lvl3_dummy_1,lvl4_dummy_1,2025-11-01,-650.49,0.0
21.27,lvl3_dummy_1,lvl4_dummy_1,2025-12-01,914.63,0.0
21.27,lvl3_dummy_1,lvl4_dummy_3,2025-10-01,67478.59,50202.91
21.27,lvl3_dummy_1,lvl4_dummy_3,2025-11-01,70437.08,50202.91
21.27,lvl3_dummy_1,lvl4_dummy_3,2025-12-01,81395.92,50207.47
22.19,lvl3_dummy_1,lvl4_dummy_1,2025-10-01,19467.85,13916.99
22.19,lvl3_dummy_1,lvl4_dummy_1,2025-11-01,21085.53,13916.99
22.19,lvl3_dummy_1,lvl4_dummy_1,2025-12-01,20400.77,13996.74
22.19,lvl3_dummy_1,lvl4_dummy_2,2025-10-01,67356.19,46887.66
22.19,lvl3_dummy_1,lvl4_dummy_2,2025-11-01,27328.52,46887.66
22.19,lvl3_dummy_1,lvl4_dummy_2,2025-12-01,77752.99,46887.66
22.19,lvl3_dummy_1,lvl4_dummy_3,2025-10-01,1128.5,395.02
22.19,lvl3_dummy_1,lvl4_dummy_3,2025-11-01,3576.58,395.02
22.19,lvl3_dummy_1,lvl4_dummy_3,2025-12-01,2394.28,395.02
2.77,lvl3_dummy_2,lvl4_dummy_4,2025-10-01,254.13,133.29
2.77,lvl3_dummy_2,lvl4_dummy_4,2025-11-01,254.13,133.29
2.77,lvl3_dummy_2,lvl4_dummy_4,2025-12-01,254.13,128.73
4.62,lvl3_dummy_2,lvl4_dummy_4,2025-10-01,254.13,170.88
4.62,lvl3_dummy_2,lvl4_dummy_4,2025-11-01,254.13,170.88
4.62,lvl3_dummy_2,lvl4_dummy_4,2025-12-01,254.13,170.88
9.25,lvl3_dummy_2,lvl4_dummy_4,2025-10-01,254.13,151.51
9.25,lvl3_dummy_2,lvl4_dummy_4,2025-11-01,254.13,151.51
9.25,lvl3_dummy_2,lvl4_dummy_4,2025-12-01,254.13,156.07
10.17,lvl3_dummy_2,lvl4_dummy_5,2025-10-01,3736.28,379.35
10.17,lvl3_dummy_2,lvl4_dummy_5,2025-11-01,5148.88,379.35
10.17,lvl3_dummy_2,lvl4_dummy_5,2025-12-01,-606.15,383.91
10.17,lvl3_dummy_2,lvl4_dummy_4,2025-10-01,254.13,284.8
10.17,lvl3_dummy_2,lvl4_dummy_4,2025-11-01,254.13,284.8
10.17,lvl3_dummy_2,lvl4_dummy_4,2025-12-01,3736.28,284.8
12.02,lvl3_dummy_2,lvl4_dummy_4,2025-10-01,254.13,208.47
12.02,lvl3_dummy_2,lvl4_dummy_4,2025-11-01,254.13,208.47
12.02,lvl3_dummy_2,lvl4_dummy_4,2025-12-01,254.13,213.03
12.95,lvl3_dummy_2,lvl4_dummy_4,2025-10-01,254.13,484.16
12.95,lvl3_dummy_2,lvl4_dummy_4,2025-11-01,254.13,484.16
12.95,lvl3_dummy_2,lvl4_dummy_4,2025-12-01,254.13,484.16
13.87,lvl3_dummy_2,lvl4_dummy_5,2025-10-01,2670.36,0.0
14.8,lvl3_dummy_2,lvl4_dummy_5,2025-10-01,0.0,6740.62
14.8,lvl3_dummy_2,lvl4_dummy_5,2025-11-01,3.06,6740.62
14.8,lvl3_dummy_2,lvl4_dummy_5,2025-12-01,3.06,6736.07
14.8,lvl3_dummy_2,lvl4_dummy_4,2025-10-01,3.06,13613.4
14.8,lvl3_dummy_2,lvl4_dummy_4,2025-11-01,3.06,13613.4
14.8,lvl3_dummy_2,lvl4_dummy_4,2025-12-01,3.06,13609.98
15.72,lvl3_dummy_2,lvl4_dummy_5,2025-10-01,68984.98,3038.24
15.72,lvl3_dummy_2,lvl4_dummy_5,2025-11-01,-1978.11,3038.24
15.72,lvl3_dummy_2,lvl4_dummy_5,2025-12-01,68984.98,3033.68
22.19,lvl3_dummy_2,lvl4_dummy_5,2025-10-01,3.06,3796.94
22.19,lvl3_dummy_2,lvl4_dummy_5,2025-11-01,0.0,3796.94
22.19,lvl3_dummy_2,lvl4_dummy_5,2025-12-01,3.06,3801.5
0.0,lvl3_dummy_3,lvl4_dummy_6,2025-10-01,193.52,1271.34
0.0,lvl3_dummy_3,lvl4_dummy_6,2025-11-01,523.18,1271.34
0.0,lvl3_dummy_3,lvl4_dummy_6,2025-12-01,5630.06,1269.06
0.0,lvl3_dummy_3,lvl4_dummy_7,2025-10-01,162.45,1018.44
0.0,lvl3_dummy_3,lvl4_dummy_7,2025-11-01,772.11,1018.44
0.0,lvl3_dummy_3,lvl4_dummy_7,2025-12-01,4082.39,1017.3
0.0,lvl3_dummy_3,lvl4_dummy_8,2025-10-01,85.11,497.83
0.0,lvl3_dummy_3,lvl4_dummy_8,2025-11-01,402.72,497.83
0.0,lvl3_dummy_3,lvl4_dummy_8,2025-12-01,3876.29,501.25
0.92,lvl3_dummy_3,lvl4_dummy_6,2025-10-01,102.59,102.53
0.92,lvl3_dummy_3,lvl4_dummy_6,2025-11-01,109.17,102.53
0.92,lvl3_dummy_3,lvl4_dummy_6,2025-12-01,1370.44,100.25
0.92,lvl3_dummy_3,lvl4_dummy_7,2025-10-01,352.56,158.35
0.92,lvl3_dummy_3,lvl4_dummy_7,2025-11-01,277.49,158.35
0.92,lvl3_dummy_3,lvl4_dummy_7,2025-12-01,1335.08,158.35
0.92,lvl3_dummy_3,lvl4_dummy_8,2025-10-01,215.7,497.83
0.92,lvl3_dummy_3,lvl4_dummy_8,2025-11-01,161.41,497.83
0.92,lvl3_dummy_3,lvl4_dummy_8,2025-12-01,1735.42,501.25
1.85,lvl3_dummy_3,lvl4_dummy_6,2025-10-01,50.85,226.7
1.85,lvl3_dummy_3,lvl4_dummy_6,2025-11-01,192.72,226.7
1.85,lvl3_dummy_3,lvl4_dummy_6,2025-12-01,1879.9,226.7
1.85,lvl3_dummy_3,lvl4_dummy_7,2025-10-01,53.46,197.08
1.85,lvl3_dummy_3,lvl4_dummy_7,2025-11-01,500.27,197.08
1.85,lvl3_dummy_3,lvl4_dummy_7,2025-12-01,2424.86,198.22
1.85,lvl3_dummy_3,lvl4_dummy_8,2025-10-01,221.9,996.8
1.85,lvl3_dummy_3,lvl4_dummy_8,2025-11-01,201.98,996.8
1.85,lvl3_dummy_3,lvl4_dummy_8,2025-12-01,4873.45,991.1
2.77,lvl3_dummy_3,lvl4_dummy_7,2025-10-01,217.72,344.04
2.77,lvl3_dummy_3,lvl4_dummy_7,2025-11-01,174.21,344.04
2.77,lvl3_dummy_3,lvl4_dummy_7,2025-12-01,2656.8,347.45
2.77,lvl3_dummy_3,lvl4_dummy_8,2025-10-01,183.18,996.8
2.77,lvl3_dummy_3,lvl4_dummy_8,2025-11-01,561.3,996.8
2.77,lvl3_dummy_3,lvl4_dummy_8,2025-12-01,3486.8,991.1
3.7,lvl3_dummy_3,lvl4_dummy_6,2025-10-01,130.15,861.23
3.7,lvl3_dummy_3,lvl4_dummy_6,2025-11-01,289.01,861.23
3.7,lvl3_dummy_3,lvl4_dummy_6,2025-12-01,3880.87,866.93
3.7,lvl3_dummy_3,lvl4_dummy_7,2025-10-01,74.65,647.06
3.7,lvl3_dummy_3,lvl4_dummy_7,2025-11-01,131.29,647.06
3.7,lvl3_dummy_3,lvl4_dummy_7,2025-12-01,3099.57,643.65
3.7,lvl3_dummy_3,lvl4_dummy_8,2025-10-01,754.08,996.8
3.7,lvl3_dummy_3,lvl4_dummy_8,2025-11-01,414.34,996.8
3.7,lvl3_dummy_3,lvl4_dummy_8,2025-12-01,4888.52,991.1
4.62,lvl3_dummy_3,lvl4_dummy_6,2025-10-01,124.27,47.85
4.62,lvl3_dummy_3,lvl4_dummy_6,2025-11-01,451.24,47.85
4.62,lvl3_dummy_3,lvl4_dummy_6,2025-12-01,2510.84,43.29
5.55,lvl3_dummy_3,lvl4_dummy_6,2025-10-01,241.02,989.96
5.55,lvl3_dummy_3,lvl4_dummy_6,2025-11-01,245.99,989.96
5.55,lvl3_dummy_3,lvl4_dummy_6,2025-12-01,5351.77,992.24
5.55,lvl3_dummy_3,lvl4_dummy_7,2025-10-01,109.12,857.81
5.55,lvl3_dummy_3,lvl4_dummy_7,2025-11-01,352.95,857.81
5.55,lvl3_dummy_3,lvl4_dummy_7,2025-12-01,4670.89,852.12
5.55,lvl3_dummy_3,lvl4_dummy_8,2025-10-01,208.74,996.8
5.55,lvl3_dummy_3,lvl4_dummy_8,2025-11-01,385.25,996.8
5.55,lvl3_dummy_3,lvl4_dummy_8,2025-12-01,5995.95,991.1
6.47,lvl3_dummy_3,lvl4_dummy_8,2025-10-01,2122.21,0.0
7.4,lvl3_dummy_3,lvl4_dummy_6,2025-10-01,615.31,1861.45
7.4,lvl3_dummy_3,lvl4_dummy_6,2025-11-01,732.86,1861.45
7.4,lvl3_dummy_3,lvl4_dummy_6,2025-12-01,13189.35,1870.56
9.25,lvl3_dummy_3,lvl4_dummy_6,2025-10-01,1553.45,2493.7
9.25,lvl3_dummy_3,lvl4_dummy_6,2025-11-01,848.3,2493.7
9.25,lvl3_dummy_3,lvl4_dummy_6,2025-12-01,14873.73,2489.14
9.25,lvl3_dummy_3,lvl4_dummy_7,2025-10-01,251.18,1602.85
9.25,lvl3_dummy_3,lvl4_dummy_7,2025-11-01,436.28,1602.85
9.25,lvl3_dummy_3,lvl4_dummy_7,2025-12-01,7037.34,1598.29
9.25,lvl3_dummy_3,lvl4_dummy_8,2025-10-01,603.37,996.8
9.25,lvl3_dummy_3,lvl4_dummy_8,2025-11-01,273.77,996.8
9.25,lvl3_dummy_3,lvl4_dummy_8,2025-12-01,5310.37,991.1
10.17,lvl3_dummy_3,lvl4_dummy_6,2025-10-01,1364.4,788.32
10.17,lvl3_dummy_3,lvl4_dummy_6,2025-11-01,3332.64,788.32
10.17,lvl3_dummy_3,lvl4_dummy_6,2025-12-01,4070.83,783.77
10.17,lvl3_dummy_3,lvl4_dummy_9,2025-10-01,2538.25,2085.14
10.17,lvl3_dummy_3,lvl4_dummy_9,2025-11-01,1617.79,2085.14
10.17,lvl3_dummy_3,lvl4_dummy_9,2025-12-01,10674.27,2085.14
12.02,lvl3_dummy_3,lvl4_dummy_6,2025-10-01,16335.32,8216.18
12.02,lvl3_dummy_3,lvl4_dummy_6,2025-11-01,17668.31,8216.18
12.02,lvl3_dummy_3,lvl4_dummy_6,2025-12-01,5189.15,8212.07
12.95,lvl3_dummy_3,lvl4_dummy_6,2025-10-01,2659.0,0.0
12.95,lvl3_dummy_3,lvl4_dummy_6,2025-11-01,619.55,0.0
12.95,lvl3_dummy_3,lvl4_dummy_6,2025-12-01,3465.49,0.0
12.95,lvl3_dummy_3,lvl4_dummy_9,2025-10-01,1929.21,0.0
12.95,lvl3_dummy_3,lvl4_dummy_9,2025-11-01,1223.35,0.0
12.95,lvl3_dummy_3,lvl4_dummy_9,2025-12-01,2423.07,0.0
12.95,lvl3_dummy_3,lvl4_dummy_7,2025-10-01,5091.78,0.0
13.87,lvl3_dummy_3,lvl4_dummy_6,2025-10-01,2393.7,3545.18
13.87,lvl3_dummy_3,lvl4_dummy_6,2025-11-01,482.15,3545.18
13.87,lvl3_dummy_3,lvl4_dummy_6,2025-12-01,19613.61,3545.18
13.87,lvl3_dummy_3,lvl4_dummy_7,2025-10-01,909.59,2509.65
13.87,lvl3_dummy_3,lvl4_dummy_7,2025-11-01,1315.24,2509.65
13.87,lvl3_dummy_3,lvl4_dummy_7,2025-12-01,14797.22,2515.35
13.87,lvl3_dummy_3,lvl4_dummy_8,2025-10-01,810.63,1992.45
13.87,lvl3_dummy_3,lvl4_dummy_8,2025-11-01,1034.57,1992.45
13.87,lvl3_dummy_3,lvl4_dummy_8,2025-12-01,11905.66,1994.73
14.8,lvl3_dummy_3,lvl4_dummy_9,2025-10-01,14514.39,13721.38
14.8,lvl3_dummy_3,lvl4_dummy_9,2025-11-01,9919.99,13721.38
14.8,lvl3_dummy_3,lvl4_dummy_9,2025-12-01,12829.71,13716.82
15.72,lvl3_dummy_3,lvl4_dummy_8,2025-10-01,1603.74,4747.03
15.72,lvl3_dummy_3,lvl4_dummy_8,2025-11-01,1459.84,4747.03
15.72,lvl3_dummy_3,lvl4_dummy_8,2025-12-01,11162.58,4742.47
21.27,lvl3_dummy_3,lvl4_dummy_9,2025-10-01,7682.62,0.0
0.0,lvl3_dummy_4,lvl4_dummy_10,2025-10-01,1785.28,7233.9
0.0,lvl3_dummy_4,lvl4_dummy_10,2025-11-01,4810.8,7233.9
0.0,lvl3_dummy_4,lvl4_dummy_10,2025-12-01,5390.84,7233.9
0.0,lvl3_dummy_4,lvl4_dummy_11,2025-10-01,70048.06,61221.4
0.0,lvl3_dummy_4,lvl4_dummy_11,2025-11-01,73174.54,61221.4
0.0,lvl3_dummy_4,lvl4_dummy_11,2025-12-01,69500.65,61221.4
0.0,lvl3_dummy_4,lvl4_dummy_12,2025-10-01,7208.92,2392.31
0.0,lvl3_dummy_4,lvl4_dummy_12,2025-11-01,5778.78,2392.31
0.0,lvl3_dummy_4,lvl4_dummy_12,2025-12-01,5536.01,2392.31
0.0,lvl3_dummy_4,lvl4_dummy_13,2025-10-01,1142.96,177.98
0.0,lvl3_dummy_4,lvl4_dummy_13,2025-11-01,4106.72,177.98
0.0,lvl3_dummy_4,lvl4_dummy_13,2025-12-01,2360.53,177.98
0.0,lvl3_dummy_4,lvl4_dummy_14,2025-10-01,351.78,137.56
0.0,lvl3_dummy_4,lvl4_dummy_14,2025-11-01,678.1,137.56
0.0,lvl3_dummy_4,lvl4_dummy_14,2025-12-01,579.07,137.56
0.0,lvl3_dummy_4,lvl4_dummy_15,2025-10-01,468.27,275.69
0.0,lvl3_dummy_4,lvl4_dummy_15,2025-11-01,754.57,275.69
0.0,lvl3_dummy_4,lvl4_dummy_15,2025-12-01,635.62,271.13
0.0,lvl3_dummy_4,lvl4_dummy_16,2025-10-01,639.76,759.84
0.0,lvl3_dummy_4,lvl4_dummy_16,2025-11-01,936.04,759.84
0.0,lvl3_dummy_4,lvl4_dummy_16,2025-12-01,849.34,755.29
0.0,lvl3_dummy_4,lvl4_dummy_17,2025-10-01,-880.45,0.0
0.0,lvl3_dummy_4,lvl4_dummy_17,2025-11-01,-1695.72,0.0
0.0,lvl3_dummy_4,lvl4_dummy_17,2025-12-01,-867.7,0.0
0.92,lvl3_dummy_4,lvl4_dummy_10,2025-10-01,3339.59,2411.3
0.92,lvl3_dummy_4,lvl4_dummy_10,2025-11-01,2446.32,2411.3
0.92,lvl3_dummy_4,lvl4_dummy_10,2025-12-01,3358.21,2411.3
0.92,lvl3_dummy_4,lvl4_dummy_11,2025-10-01,26272.78,19869.11
0.92,lvl3_dummy_4,lvl4_dummy_11,2025-11-01,29186.02,19869.11
0.92,lvl3_dummy_4,lvl4_dummy_11,2025-12-01,29799.76,19869.11
0.92,lvl3_dummy_4,lvl4_dummy_12,2025-10-01,3170.9,2392.31
0.92,lvl3_dummy_4,lvl4_dummy_12,2025-11-01,4017.12,2392.31
0.92,lvl3_dummy_4,lvl4_dummy_12,2025-12-01,6361.78,2392.31
