lvl3,Feature,Importance
4.62,Feature_dummy_26,0.0
5.55,Feature_dummy_1,0.03
5.55,Feature_dummy_2,0.0
5.55,Feature_dummy_3,0.0
5.55,Feature_dummy_4,0.91
5.55,Feature_dummy_5,0.0
5.55,Feature_dummy_6,0.0
5.55,Feature_dummy_7,0.0
5.55,Feature_dummy_8,0.0
5.55,Feature_dummy_9,0.01
5.55,Feature_dummy_10,0.01
5.55,Feature_dummy_11,0.01
5.55,Feature_dummy_12,0.0
5.55,Feature_dummy_13,0.0
5.55,Feature_dummy_14,0.0
5.55,Feature_dummy_15,0.0
5.55,Feature_dummy_16,0.04
5.55,Feature_dummy_17,0.03
5.55,Feature_dummy_18,0.0
5.55,Feature_dummy_19,0.04
5.55,Feature_dummy_20,0.01
5.55,Feature_dummy_21,0.03
5.55,Feature_dummy_22,0.03
5.55,Feature_dummy_23,0.04
5.55,Feature_dummy_24,0.01
5.55,Feature_dummy_25,0.07
5.55,Feature_dummy_26,0.0
